지역,권,항목,경보단계,발령시일,발령시,인구가중치,PM10,PM2.5,경보,주의보
전북,부안권,PM2.5,주의보,2019-03-28,4,0.001036952,0,1,0,1
전북,군산권,PM2.5,주의보,2019-03-28,3,0.005255895,0,1,0,1
충북,북부권,PM2.5,주의보,2019-03-28,3,0.056789935,0,1,0,1
경기,남부권,PM2.5,주의보,2019-03-28,2,0.023576725,0,1,0,1
충남,북부권,PM2.5,주의보,2019-03-28,2,0.056789935,0,1,0,1
강원,영서남부,PM2.5,주의보,2019-03-28,2,0.008520071,0,1,0,1
강원,영서북부,PM2.5,주의보,2019-03-28,2,0.005473033,0,1,0,1
경기,동부권,PM2.5,주의보,2019-03-28,1,0.0032048520000000002,0,1,0,1
경기,북부권,PM2.5,주의보,2019-03-27,10,0.056789935,0,1,0,1
경기,중부권,PM2.5,주의보,2019-03-27,9,0.020966376000000002,0,1,0,1
서울,서울권,PM2.5,주의보,2019-03-27,8,0.18929765,0,1,0,1
전북,부안권,PM2.5,주의보,2019-03-26,21,0.001036952,0,1,0,1
전북,익산권,PM2.5,주의보,2019-03-26,21,0.005599113,0,1,0,1
전북,군산권,PM2.5,주의보,2019-03-26,20,0.005255895,0,1,0,1
전북,장수권,PM2.5,주의보,2019-03-25,23,0.000436631,0,1,0,1
전북,군산권,PM2.5,주의보,2019-03-20,14,0.005255895,0,1,0,1
인천,영종권,PM2.5,주의보,2019-03-20,14,0.00131465,0,1,0,1
인천,강화권,PM2.5,주의보,2019-03-20,13,0.001345985,0,1,0,1
울산,울산권,PM2.5,주의보,2019-03-20,13,0.022336818999999997,0,1,0,1
광주,광주권,PM2.5,주의보,2019-03-20,12,0.028338261,0,1,0,1
전북,김제권,PM2.5,주의보,2019-03-20,12,0.001632331,0,1,0,1
